Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2012,X05,Educación,"COLEGIO PÚBLICO PARQUE EUGENIA DE MONTIJO, C/ JACOBINIA, 48. CONSERVACIÓN",,1999.71,1999.71
2012,X05,Educación,"COLEGIO PÚBLICO LOPE DE VEGA, C/INGLATERRA, 8. OBRAS DE CONSERVACIÓN",,757.24,757.24
2012,X05,Educación,"COLEGIO PÚBLICO PERÚ, C/ BALEARES, 18. OBRAS DE CONSERVACIÓN",,6114.37,6114.37
2012,X05,Educación,"COLEGIO PÚBLICO ANTONIO MACHADO, C/ ALLARIZ, 3. OBRAS DE CONSERVACIÓN",,9115.03,9115.03
2012,X05,Educación,CENTRO DE EDUCACIÓN ESPECIAL INMACULADA CONCEPCIÓN. ACONDICIONAMIENTO,,28087.99,28087.99
2012,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL CARABANCHEL Nº8,C/ PATRIMONIO DE LA HUMANIDAD,31",,424.96,424.96
2012,X05,Educación,COLEGIO PÚBLICO REPÚBLICA DE COLOMBIA. SUBSANACIÓN DEFICIENCIAS CUBIERTA,,34999.69,34999.69
2012,X05,Educación,"COLEGIO PÚBLICO HAITÍ, C/ GUABAIRO, 22. OBRAS DE ACONDICIONAMIENTO",,44998.49,44998.49
2012,X05,Educación,"COLEGIO PÚBLICO CAPITÁN CORTÉS,. OBRAS DE ACONDICIONAMIENTO",,24449.5,24449.5
2012,X05,Educación,"COLEGIO PÚBLICO ARCIPRESTE DE HITA, C/ ANTONIO MORENO, 25. CONSERVACIÓN",,15835.53,15835.53
2012,X05,Educación,"COLEGIO PÚBLICO JULIAN BESTEIRO, AV. ABRANTES, 79. ADOPCIÓN MEDIDAS SEGURIDAD",,73007.04,73007.04
2012,X05,Educación,"COLEGIO PÚBLICO GONZALO DE BERCEO I, AV. ABRANTES, 5. ACONDICIONAMIENTO",,51497.95,51497.95
2012,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DEL ECUADOR, C/ VALLE DE ORO, 41. CONSERVACIÓN",,1999.29,1999.29
2012,X05,Educación,"COLEGIO PÚBLICO MIGUEL SERVET, C/ FRAGATA, 33. ADOPCIÓN MEDIDAS DE SEGURIDAD",,90137.21,90137.21
2012,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL LAS AMAPOLAS Nº 2, C/ ÓBOLO, 14",,11163.83,11163.83
2012,X05,Educación,"COLEGIO PÚBLICO MIGUEL SERVET, C/FRAGATA, 33. OBRAS DE CONSERVACIÓN",,1295.29,1295.29
